District,State,County,Tract,Block
38A,24,047,951400,2073
38A,24,047,951400,1005
38A,24,047,951400,1000
38A,24,047,951400,2058
38A,24,047,951400,1023
38A,24,047,951400,1011
38A,24,047,951400,1021
38A,24,047,951400,1020
38A,24,047,951400,1022
38A,24,047,951400,1019
38A,24,047,951400,1009
38A,24,047,951400,1001
38A,24,047,951400,1010
38A,24,047,951400,1002
38A,24,047,951200,3058
38A,24,047,951400,1064
38A,24,047,951400,1063
38A,24,047,951400,1033
38C,24,045,010606,1016
38C,24,045,010606,1001
38C,24,045,010606,1000
38C,24,045,010604,4020
38C,24,045,010604,4008
38C,24,045,010604,4009
38C,24,045,010604,4021
38C,24,045,010606,1015
38C,24,045,010604,4019
38C,24,045,010604,4010
38C,24,045,010604,4007
38C,24,045,010604,4006
38C,24,045,010604,4013
38C,24,045,010604,4011
38C,24,045,010604,4014
38C,24,045,010604,4012
38C,24,045,010604,4005
38C,24,045,010606,2000
38C,24,045,010606,1049
38C,24,045,010606,1048
38C,24,045,010606,3051
38C,24,045,010606,3049
38C,24,045,010606,1017
38C,24,045,010606,3048
38C,24,045,010606,3050
38C,24,045,010606,3058
38A,24,047,951400,3086
38A,24,047,951500,1032
38A,24,047,951400,3088
38A,24,047,951500,1031
38A,24,047,951400,3085
38A,24,047,951400,3096
38A,24,047,951400,3095
38A,24,047,951400,3094
38A,24,047,951400,3083
38A,24,047,951400,3084
38A,24,039,930500,1060
38A,24,039,930500,2030
38A,24,039,930500,2026
38A,24,039,930500,2025
38A,24,039,930500,2027
38A,24,039,930500,2029
38A,24,039,930500,1021
38A,24,039,930500,2022
38A,24,039,930500,2028
38A,24,039,930500,1019
38A,24,039,930500,2012
38A,24,039,930500,2019
38A,24,047,951400,3030
38A,24,047,951400,3028
38A,24,047,951400,3019
38A,24,047,951400,3046
38A,24,047,951400,3025
38A,24,047,951400,3024
38A,24,047,951400,3082
38A,24,047,951400,3078
38A,24,047,951400,3080
38A,24,047,951400,3066
38A,24,047,951400,3067
38A,24,047,951400,3079
38A,24,047,951400,3065
38A,24,047,951400,3041
38A,24,047,951400,3048
38A,24,047,951400,3045
38A,24,047,951400,3022
38A,24,047,951400,3021
38A,24,047,951400,3023
38A,24,047,951400,3042
38A,24,047,951400,3043
38A,24,047,951400,3044
38A,24,047,951400,3039
38A,24,047,951400,3040
38A,24,047,951500,3017
38A,24,047,951500,3000
38A,24,039,930800,1042
38A,24,039,930800,1038
38A,24,047,951500,3006
38A,24,047,951500,2001
38A,24,047,951500,3005
38A,24,039,930800,1036
38A,24,047,951500,2000
38A,24,047,951400,3027
38A,24,047,951400,3026
38A,24,047,951400,3020
38A,24,047,951400,3018
38A,24,047,951400,3017
38A,24,047,951400,2067
38A,24,047,951400,2068
38A,24,047,951400,3015
38A,24,047,951400,3016
38A,24,047,951400,3013
38A,24,047,951400,3012
38A,24,047,951400,2071
38A,24,047,951400,3002
38A,24,047,951400,3001
38A,24,047,951400,2072
38A,24,047,951400,3014
38A,24,047,951400,3011
38A,24,047,951400,3005
38A,24,047,951400,3010
38A,24,047,951400,3003
38A,24,047,951400,3000
38A,24,047,951400,3004
38A,24,047,951400,2069
38A,24,047,951400,2070
38A,24,047,951400,2059
38A,24,039,930800,1016
38A,24,039,930800,1017
38A,24,039,930800,1009
38A,24,039,930101,1035
38A,24,039,930800,1007
38A,24,039,930101,1033
38A,24,039,930800,1010
38A,24,039,930101,1037
38A,24,039,930800,1006
38A,24,039,930800,1005
38A,24,039,930800,1015
38A,24,039,930800,1008
38A,24,039,930800,1003
38A,24,039,930800,1011
38A,24,039,930800,1004
38A,24,039,930101,1054
38A,24,039,930101,1055
38A,24,039,930101,1004
38A,24,039,930101,1001
38A,24,039,930800,1002
38A,24,039,930800,1001
38A,24,039,930101,1003
38A,24,039,930101,1056
38A,24,047,951400,2035
38A,24,047,951400,2050
38A,24,047,951400,2049
38A,24,047,951400,2048
38A,24,047,951400,2051
38A,24,047,951400,2060
38A,24,047,951400,2052
38A,24,047,951400,2047
38A,24,047,951400,2046
38A,24,047,951400,2032
38A,24,047,951400,2033
38A,24,047,951400,2036
38A,24,047,951400,2030
38A,24,047,951400,2031
38A,24,047,951400,2017
38A,24,047,951400,2015
38A,24,047,951400,2016
38A,24,047,951400,2013
38A,24,047,951400,2014
38A,24,047,951400,2037
38A,24,047,951400,2039
38A,24,047,951400,2045
38A,24,047,951400,2040
38A,24,047,951400,2038
38A,24,047,951400,2011
38A,24,047,951400,2010
38A,24,047,951400,2012
38A,24,045,010605,1001
38A,24,045,010606,2022
38C,24,045,010606,2002
38C,24,045,010606,2001
38A,24,047,951400,2000
38A,24,047,951200,2010
38C,24,045,010605,1000
38C,24,045,010606,4047
38C,24,045,010606,4046
38C,24,045,010606,4026
38C,24,045,010606,4027
38C,24,045,010606,4028
38C,24,045,010606,4025
38C,24,045,010606,4024
38C,24,045,010606,4029
38C,24,045,010606,4023
38C,24,045,010606,2003
38C,24,045,010606,1052
38C,24,045,010606,1042
38C,24,045,010606,1043
38C,24,045,010606,1002
38C,24,045,010606,1027
38C,24,045,010606,1024
38C,24,045,010606,1045
38C,24,045,010606,1047
38C,24,045,010606,1044
38C,24,045,010606,1046
38A,24,045,010605,1007
38A,24,045,010504,1029
38A,24,045,010605,1009
38A,24,045,010605,3004
38A,24,045,010605,1010
38A,24,045,010605,1008
38A,24,045,010606,2014
38A,24,045,010605,1005
38A,24,045,010606,2013
38A,24,047,951400,2005
38A,24,045,010605,1013
38A,24,047,951400,2004
38A,24,045,010605,1012
38A,24,045,010605,3022
38A,24,045,010605,1011
38A,24,047,951400,2003
38A,24,045,010605,1014
38A,24,045,010605,1003
38A,24,045,010605,1015
38A,24,045,010605,1019
38A,24,045,010605,1004
38A,24,045,010606,2016
38A,24,045,010606,2023
38A,24,045,010606,2020
38A,24,045,010606,2018
38A,24,045,010606,2017
38B,24,045,010504,1039
38B,24,045,010504,1034
38B,24,045,010504,1003
38B,24,045,010504,1023
38A,24,045,010504,1002
38A,24,045,010504,1025
38A,24,045,010504,1001
38B,24,045,010102,1042
38B,24,045,010102,1041
38B,24,045,010102,1052
38B,24,045,010102,1051
38A,24,045,010504,1026
38B,24,045,010102,1049
38A,24,045,010504,1000
38B,24,045,010102,1050
38A,24,045,010605,1006
38A,24,045,010504,1027
38A,24,045,010606,2012
38A,24,045,010504,1028
38A,24,045,010102,1057
38B,24,045,010102,2019
38B,24,045,010102,1034
38B,24,045,010102,1033
38B,24,045,010102,1029
38B,24,045,010102,1025
38B,24,045,010102,1031
38B,24,045,010102,1032
38B,24,045,010102,1030
38C,24,045,010606,1031
38C,24,045,010606,1018
38C,24,045,010606,1029
38A,24,045,010606,2021
38A,24,045,010606,2004
38C,24,045,010606,1054
38C,24,045,010606,1037
38C,24,045,010606,1039
38C,24,045,010606,1038
38C,24,045,010606,1041
38C,24,045,010606,1040
38C,24,045,010606,1032
38C,24,045,010606,1033
38C,24,045,010606,1034
38C,24,045,010606,1036
38C,24,045,010606,1030
38C,24,045,010606,1035
38C,24,045,010606,1014
38C,24,045,010606,1028
38C,24,045,010606,1023
38C,24,045,010606,1010
38C,24,045,010603,4015
38C,24,045,010603,4021
38C,24,045,010603,4022
38C,24,045,010603,4020
38C,24,045,010603,4012
38C,24,045,010606,1008
38C,24,045,010606,1009
38C,24,045,010603,4011
38C,24,045,010603,4023
38C,24,045,010603,4005
38C,24,045,010603,3037
38C,24,045,010606,1011
38C,24,045,010603,4014
38C,24,045,010606,1012
38C,24,045,010606,1004
38C,24,045,010603,4006
38C,24,045,010603,4008
38C,24,045,010603,4013
38C,24,045,010606,1005
38C,24,045,010606,1006
38C,24,045,010606,1013
38C,24,045,010606,1003
38C,24,045,010606,1007
38C,24,045,010604,4022
38C,24,045,010603,4009
38C,24,045,010603,4003
38C,24,045,010603,4004
38C,24,045,010603,4002
38C,24,045,010603,4001
38C,24,045,010603,4010
38C,24,045,010603,4000
37A,24,045,010200,1008
37A,24,045,010200,1009
37A,24,045,010200,1000
37A,24,045,010704,3019
37A,24,045,010704,3020
37A,24,045,010200,1005
37A,24,045,010200,1001
38C,24,045,010603,3038
38C,24,045,010604,4004
38C,24,045,010603,3019
38C,24,045,010603,3017
38C,24,045,010603,3016
38C,24,045,010603,3003
38C,24,045,010603,3026
37B,24,019,970100,2067
37B,24,019,970100,2066
37B,24,045,010701,1046
37B,24,019,970100,2075
37B,24,019,970100,2074
37B,24,019,970100,2058
37B,24,019,970100,2069
38C,24,047,951700,3021
38C,24,047,951700,3019
38C,24,047,951700,3023
38C,24,047,980000,1090
38C,24,047,980000,1012
38C,24,047,980000,1004
38A,24,045,010605,1020
38A,24,045,010605,1018
38A,24,045,010605,1016
38A,24,047,951400,2002
38A,24,047,951400,2001
38A,24,045,010605,1017
38A,24,045,010605,1002
38A,24,047,951200,2028
38A,24,047,951200,2030
38A,24,047,951400,2042
38A,24,047,951200,2020
38A,24,047,951400,2041
38A,24,047,951200,2021
38A,24,047,951200,2013
38A,24,047,951400,2009
38A,24,047,951400,2006
38A,24,047,951200,2022
38A,24,047,951200,2019
38A,24,047,951200,2023
38A,24,047,951200,2027
38A,24,047,951200,2014
38A,24,047,951200,2025
38A,24,047,951200,2026
38A,24,047,951200,2015
38A,24,047,951200,2012
38A,24,047,951200,2011
38A,24,047,951200,3057
38A,24,047,951200,3054
38A,24,047,951200,3072
38A,24,047,951200,3053
38A,24,047,951200,3071
38A,24,047,951200,3070
38A,24,047,951200,3067
38A,24,047,951200,3068
38A,24,047,951400,2061
38A,24,047,951400,2074
38A,24,047,951400,2056
38A,24,047,951400,2044
38A,24,047,951400,2053
38A,24,047,951400,2043
38A,24,047,951200,3059
38A,24,047,951400,2057
38A,24,047,951400,2063
38A,24,047,951400,2055
38A,24,047,951200,2029
38A,24,047,951400,2054
38A,24,047,951200,2051
38A,24,047,951200,2052
38A,24,047,951200,2053
38A,24,047,951400,3092
38A,24,047,951400,3062
38A,24,047,951400,1078
38A,24,047,951400,1072
38A,24,047,951400,1073
38A,24,047,951400,1071
38A,24,047,951400,1070
38A,24,047,951400,1066
38A,24,047,951400,1069
38A,24,047,951400,1068
38A,24,047,951400,1065
38A,24,047,951400,1067
38A,24,047,951400,1039
38A,24,047,951400,1038
38A,24,047,951400,3009
38A,24,047,951400,3006
38A,24,047,951400,3007
38A,24,047,951400,1006
38A,24,047,951400,1003
38A,24,047,951400,3008
38A,24,047,951400,3034
38A,24,047,951400,1024
38A,24,047,951400,1007
38A,24,047,951400,1008
38A,24,047,951400,1004
36,24,015,030602,1014
35B,24,015,030601,1000
36,24,015,030601,2002
36,24,015,030601,2001
36,24,015,030601,2000
36,24,015,030602,1003
36,24,015,030602,1005
36,24,015,030602,1001
36,24,015,030602,1016
36,24,015,030602,1002
36,24,015,030602,1000
38A,24,047,951400,3093
38A,24,047,951400,3064
38A,24,047,951400,3063
38A,24,047,951400,3061
38A,24,047,951400,3038
38A,24,047,951400,3060
38A,24,047,951400,3059
38A,24,047,951400,3032
38A,24,047,951400,3033
38A,24,047,951400,3091
38C,24,045,010604,3067
38C,24,045,010604,3052
38C,24,045,010604,3033
38C,24,045,010604,3062
38C,24,045,010604,3054
38C,24,045,010604,3055
38C,24,045,010604,3013
38C,24,045,010604,3069
38C,24,045,010606,3007
38C,24,045,010604,2041
38C,24,045,010604,3056
38C,24,045,010604,3057
38C,24,045,010604,3012
38C,24,045,010604,2014
38C,24,045,010604,2013
38C,24,045,010604,4003
38C,24,045,010604,4002
38C,24,045,010603,3023
38C,24,045,010603,3002
38C,24,045,010603,3020
02A,24,043,010200,4020
02A,24,043,010200,4016
02A,24,043,010200,4007
02A,24,043,010200,4008
02A,24,043,010200,2008
02A,24,043,010200,4030
02A,24,043,010200,4006
02A,24,043,010200,4002
01C,24,043,010300,1008
01C,24,043,010300,1005
01C,24,043,010300,1004
02A,24,043,010300,1002
02A,24,043,010300,1001
02A,24,043,010300,1000
02A,24,043,010200,4013
02A,24,043,010200,4011
02A,24,043,010200,4010
02A,24,043,010200,4009
02A,24,043,010200,4004
02A,24,043,010200,4003
28,24,017,850400,3016
28,24,017,850400,3034
28,24,017,850400,3045
