Block,DistrictID:1
240479514002073,38A
240479514001005,38A
240479514001000,38A
240479514002058,38A
240479514001023,38A
240479514001011,38A
240479514001021,38A
240479514001020,38A
240479514001022,38A
240479514001019,38A
240479514001009,38A
240479514001001,38A
240479514001010,38A
240479514001002,38A
240479512003058,38A
240479514001064,38A
240479514001063,38A
240479514001033,38A
240450106061016,38C
240450106061001,38C
240450106061000,38C
240450106044020,38C
240450106044008,38C
240450106044009,38C
240450106044021,38C
240450106061015,38C
240450106044019,38C
240450106044010,38C
240450106044007,38C
240450106044006,38C
240450106044013,38C
240450106044011,38C
240450106044014,38C
240450106044012,38C
240450106044005,38C
240450106062000,38C
240450106061049,38C
240450106061048,38C
240450106063051,38C
240450106063049,38C
240450106061017,38C
240450106063048,38C
240450106063050,38C
240450106063058,38C
240479514003086,38A
240479515001032,38A
240479514003088,38A
240479515001031,38A
240479514003085,38A
240479514003096,38A
240479514003095,38A
240479514003094,38A
240479514003083,38A
240479514003084,38A
240399305001060,38A
240399305002030,38A
240399305002026,38A
240399305002025,38A
240399305002027,38A
240399305002029,38A
240399305001021,38A
240399305002022,38A
240399305002028,38A
240399305001019,38A
240399305002012,38A
240399305002019,38A
240479514003030,38A
240479514003028,38A
240479514003019,38A
240479514003046,38A
240479514003025,38A
240479514003024,38A
240479514003082,38A
240479514003078,38A
240479514003080,38A
240479514003066,38A
240479514003067,38A
240479514003079,38A
240479514003065,38A
240479514003041,38A
240479514003048,38A
240479514003045,38A
240479514003022,38A
240479514003021,38A
240479514003023,38A
240479514003042,38A
240479514003043,38A
240479514003044,38A
240479514003039,38A
240479514003040,38A
240479515003017,38A
240479515003000,38A
240399308001042,38A
240399308001038,38A
240479515003006,38A
240479515002001,38A
240479515003005,38A
240399308001036,38A
240479515002000,38A
240479514003027,38A
240479514003026,38A
240479514003020,38A
240479514003018,38A
240479514003017,38A
240479514002067,38A
240479514002068,38A
240479514003015,38A
240479514003016,38A
240479514003013,38A
240479514003012,38A
240479514002071,38A
240479514003002,38A
240479514003001,38A
240479514002072,38A
240479514003014,38A
240479514003011,38A
240479514003005,38A
240479514003010,38A
240479514003003,38A
240479514003000,38A
240479514003004,38A
240479514002069,38A
240479514002070,38A
240479514002059,38A
240399308001016,38A
240399308001017,38A
240399308001009,38A
240399301011035,38A
240399308001007,38A
240399301011033,38A
240399308001010,38A
240399301011037,38A
240399308001006,38A
240399308001005,38A
240399308001015,38A
240399308001008,38A
240399308001003,38A
240399308001011,38A
240399308001004,38A
240399301011054,38A
240399301011055,38A
