Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
28,"All Children 100","010",130559.54700365491,29764.686280670492,8255.4134121284442,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","All Children"
38,"All Children 100","011",133963.79563157394,29444.971972330313,6855.220284896709,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","All Children"
45,"All Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_deep_pov_rate",0,"current level of","young_child","deep_pov","100","All Children"
45,"All Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","All Children"
77,"All Children 200","010",130559.54700365491,29764.686280670492,8255.4134121284442,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","All Children"
87,"All Children 200","011",133963.79563157394,29444.971972330313,6855.220284896709,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","All Children"
94,"All Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_deep_pov_rate",0,"current level of","young_child","deep_pov","200","All Children"
94,"All Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","All Children"
126,"Young Children 100","010",130559.54700365491,29764.686280670492,8255.4134121284442,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","Young Children"
136,"Young Children 100","011",133963.79563157394,29444.971972330313,6855.220284896709,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_deep_pov_rate",0,"current level of","young_child","deep_pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","100","Young Children"
175,"Young Children 200","010",130559.54700365491,29764.686280670492,8255.4134121284442,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","Young Children"
185,"Young Children 200","011",133963.79563157394,29444.971972330313,6855.220284896709,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_deep_pov_rate",0,"current level of","young_child","deep_pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"new_young_child_deep_pov_rate",0,"new level of","young_child","deep_pov","200","Young Children"
1,"All Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
1,"All Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
1,"All Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
6,"All Children 100","023",133548.15767913003,27862.335125054648,6988.339586682655,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
6,"All Children 100","023",133548.15767913003,27862.335125054648,6988.339586682655,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
16,"All Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
16,"All Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
16,"All Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
31,"All Children 100","006",125611.7874249458,26627.900369576055,6495.668314121458,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
32,"All Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"total_pov_change",0,"change in","total","pov","100","All Children"
32,"All Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"child_pov_change",0,"change in","child","pov","100","All Children"
32,"All Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
33,"All Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"total_pov_change",0,"change in","total","pov","100","All Children"
33,"All Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"child_pov_change",0,"change in","child","pov","100","All Children"
33,"All Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
34,"All Children 100","001",114170.96362899712,21238.114213837565,5578.4352729718958,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
34,"All Children 100","001",114170.96362899712,21238.114213837565,5578.4352729718958,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
35,"All Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
35,"All Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
36,"All Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"total_pov_change",0,"change in","total","pov","100","All Children"
36,"All Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"child_pov_change",0,"change in","child","pov","100","All Children"
36,"All Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
40,"All Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
40,"All Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
42,"All Children 100","002",133897.03637100285,29704.885786162435,7834.5647270281042,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
42,"All Children 100","002",133897.03637100285,29704.885786162435,7834.5647270281042,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
47,"All Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"young_child_pov_change",0,"change in","young_child","pov","100","All Children"
47,"All Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"total_deep_pov_change",0,"change in","total","deep_pov","100","All Children"
47,"All Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
81,"All Children 200","008",131122.27886295505,27579.985376932043,8905.3861816061562,"young_child_pov_change",0,"change in","young_child","pov","200","All Children"
84,"All Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_deep_pov_change",0,"change in","total","deep_pov","200","All Children"
84,"All Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_deep_pov_change",0,"change in","child","deep_pov","200","All Children"
85,"All Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"young_child_pov_change",0,"change in","young_child","pov","200","All Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_pov_change",0,"change in","total","pov","100","Young Children"
