Max of metric_value,DISTRICT,First DISTRICT
38.986071675837394,46,46
32.231368777499995,8,8
31.942870421616977,19,19
30.917200086729185,40,40
30.4620129954975,17,17
27.844863864462226,18,18
25.540515867267256,41,41
24.548181254778314,34A,34A
24.548181254778314,34B,34B
23.80035342382769,47A,47A
23.80035342382769,47B,47B
23.77441546537184,22,22
23.205487671701462,43,43
21.859474884681493,44A,44A
21.859474884681493,44B,44B
21.21057977728223,14,14
20.633639299210834,20,20
20.46799044509867,21,21
20.25789127487453,24,24
18.858675270130302,45,45
18.815802294184596,7,7
17.791281268899837,25,25
16.478835386612538,10,10
15.924933955160636,1A,1A
15.924933955160636,1B,1B
15.924933955160636,1C,1C
14.637796378131599,3B,3B
13.404743560291935,15,15
13.056209295263763,27A,27A
13.056209295263763,27B,27B
13.056209295263763,27C,27C
11.521594204421486,16,16
10.981960187886273,12,12
10.892420251753753,39,39
10.357770495969328,11,11
10.270612788800946,26,26
10.268198234722584,4,4
9.846710666382798,38A,38A
9.846710666382798,38B,38B
9.846710666382798,38C,38C
9.659597219746924,29A,29A
9.659597219746924,29B,29B
9.659597219746924,29C,29C
9.59892051711722,6,6
9.534591348313306,23A,23A
9.534591348313306,23B,23B
9.439025178554457,42A,42A
9.439025178554457,42B,42B
8.541734329327703,28,28
7.692828801285224,30A,30A
7.692828801285224,30B,30B
7.092252575369754,13,13
6.98026998640133,35A,35A
6.98026998640133,35B,35B
6.530520646319568,2A,2A
6.530520646319568,2B,2B
6.530520646319568,3A,3A
6.496865305783252,37A,37A
6.496865305783252,37B,37B
6.304591265397537,5,5
5.277852087269822,32,32
4.816016154913435,36,36
4.412358325641194,9A,9A
4.412358325641194,9B,9B
4.161879749681359,33,33
3.7178120853448333,31A,31A
3.7178120853448333,31B,31B
