,reform,county_fip,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,total_deep_poor,new_total_deep_poor
0,All Children 100,Maryland,-9.8,-20.7,-20.1,-7.4,-19.1,-23.7,6319406.0,1390540.0,376011.0,0.12544612579093667,0.1482647029211673,0.15847940618758494,0.1130981297925786,0.11752844218792699,0.1265601272303204,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.03799676741769717,0.030993714671997928,0.02710027100271003,259253.0,240117.0
1,All Children 100,11,-3.2,-7.5,0.0,0.0,0.0,0.0,34804.32229101806,6894.312502186309,1569.5779783351406,0.08338500376455998,0.06805287722534306,0.041001718634912844,0.08071659506621195,0.06296637880439339,0.041001718634912844,0.019022100181584657,0.013498784270981806,0.004051068008838693,0.019022100181584657,0.013498784270981806,0.004051068008838693,662.0513053719056,662.0513053719056
2,All Children 100,19,-3.2,-7.5,0.0,0.0,0.0,0.0,33844.93660288476,6704.269877916535,1526.312356432411,0.08338500376455998,0.06805287722534306,0.04100171863491284,0.08071659506621197,0.0629663788043934,0.04100171863491284,0.01902210018158466,0.013498784270981804,0.004051068008838694,0.01902210018158466,0.013498784270981804,0.004051068008838694,643.8017746994554,643.8017746994554
3,All Children 100,29,-3.2,-7.5,0.0,0.0,0.0,0.0,20573.61010249414,4075.3816769860427,927.8125021863084,0.08338500376455998,0.06805287722534305,0.041001718634912844,0.08071659506621195,0.06296637880439339,0.041001718634912844,0.019022100181584657,0.013498784270981804,0.004051068008838694,0.019022100181584657,0.013498784270981804,0.004051068008838694,391.35327246650576,391.35327246650576
4,All Children 100,35,-3.2,-7.5,0.0,0.0,0.0,0.0,52268.09053066079,10353.672368559135,2357.1452758246755,0.08338500376456,0.06805287722534306,0.04100171863491284,0.08071659506621197,0.0629663788043934,0.04100171863491284,0.019022100181584657,0.013498784270981808,0.004051068008838693,0.019022100181584657,0.013498784270981808,0.004051068008838693,994.2488543743659,994.2488543743659
5,All Children 100,41,-3.2,-7.5,0.0,0.0,0.0,0.0,39141.04047294225,7753.363574351979,1765.1518872214642,0.08338500376455997,0.06805287722534306,0.04100171863491285,0.08071659506621197,0.06296637880439339,0.04100171863491285,0.019022100181584657,0.013498784270981806,0.004051068008838694,0.019022100181584657,0.013498784270981806,0.004051068008838694,744.5447930877672,744.5447930877672
6,All Children 100,33,-18.8,-39.8,-27.8,-3.3,-12.1,-11.0,939674.0,210461.0,62964.0,0.14797578734752692,0.2011156461292116,0.19444444444444445,0.1201193179762343,0.12116259069376274,0.14047709802426783,0.03690428808288832,0.026950361349608716,0.03131948414967283,0.03569429397855001,0.02368134713794955,0.027873070325900515,34678.0,33541.0
7,All Children 100,13,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,178564.0,37240.0,8930.0,0.06907327344817545,0.07655746509129968,0.06304591265397537,0.05945767343921507,0.05182599355531686,0.03236282194848824,0.021387289711251988,0.02156283566058002,0.011422172452407614,0.01971842028628391,0.016245972073039742,0.00593505039193729,3819.0,3521.0
8,All Children 100,510,-3.8,-9.2,-6.5,-6.3,-17.4,-5.7,595705.0,122089.0,37354.0,0.25001804584483933,0.32960381361138186,0.2792739733361889,0.24043947927245868,0.29919976410651244,0.2610162231621781,0.08978437313771077,0.10052502682469346,0.07238849922364406,0.0840986730008981,0.08306235615002171,0.06826578144241581,53485.0,50098.0
9,All Children 100,25,-2.2,-3.9,-7.7,-10.8,-10.4,-19.4,272165.0,59029.0,15126.0,0.0874322561681333,0.09136187297768893,0.179624487637181,0.08546653684345894,0.0878381812329533,0.16587333068888008,0.03955321220583102,0.05719222754917075,0.11966150998281105,0.03528374331747286,0.051245997729929355,0.09645643263255321,10765.0,9603.0
