,reform,district,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
0,All Children 100,Maryland,-9.8,-20.7,-20.1,-7.4,-19.1,-23.7,6319406.000000001,1390540.0,376011.0,0.12544612579093667,0.1482647029211673,0.15847940618758494,0.11309812979257859,0.11752844218792699,0.1265601272303204,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.03799676741769716,0.030993714671997928,0.02710027100271003
1,All Children 100,036,-4.1,-10.9,0.0,0.0,0.0,0.0,137998.50638469058,27920.790532813553,6638.590173752445,0.08983726420072358,0.0703802454774629,0.048160161549134356,0.08619841056680591,0.06271484477792175,0.048160161549134356,0.02685236008596517,0.01827459032000423,0.0036478072265690824,0.02685236008596517,0.01827459032000423,0.0036478072265690824
2,All Children 100,037,-4.6,-13.5,-15.0,-6.9,-20.9,-40.8,131847.5727120465,26621.154768906068,6302.777533124193,0.09885305409837956,0.08952350118263244,0.06496865305783252,0.09432206426340585,0.07744219405511567,0.05524566610442864,0.037962840579996396,0.03666915913050692,0.022207048711694356,0.03535235956602111,0.029006346534999075,0.013150019768797585
3,All Children 100,ZZZ,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
4,All Children 100,021,-9.5,-21.5,-9.6,-3.6,-14.4,-20.1,136305.6112242434,30624.509722630184,10004.392169817478,0.13093740545616794,0.15444562895545555,0.20467990445098672,0.11848692810305621,0.1212655916152614,0.18502575133384663,0.04092506084165775,0.027037487248188802,0.030523787229626995,0.039449859334083355,0.023153418761233047,0.024380854497656815
5,All Children 100,022,-18.2,-34.8,-29.4,-3.0,-7.1,-6.8,136174.3900377187,33567.93836029987,11379.632850923492,0.17814388636980186,0.2496280609540175,0.23774415465371837,0.14571663417468292,0.16265415238083317,0.1677834827965738,0.04470975660002567,0.045247867684207944,0.06205397071608618,0.043383488063208846,0.0420392584145089,0.05785110631913602
6,All Children 100,023,-28.6,-65.4,-13.1,0.0,0.0,0.0,133548.15767913003,27862.335125054648,6988.339586682655,0.08282066474290678,0.1320403350174902,0.09534591348313305,0.059098916138733706,0.04569102512024607,0.08289597634383095,0.020635405268522297,0.006254186364870884,0.0053736600714453815,0.020635405268522297,0.006254186364870884,0.0053736600714453815
7,All Children 100,024,-28.9,-53.9,-49.9,-5.6,-38.7,0.0,130034.15953075975,28421.306083763156,7178.431535745822,0.15421856382161264,0.2475312731183137,0.20257891274874532,0.10971675324289519,0.11413972429038657,0.10147408730870437,0.028229976883308788,0.011660933947021829,0.004951153728424558,0.026659790280951317,0.007152023501223943,0.004951153728424558
8,All Children 100,004,-5.2,-11.7,-4.2,-6.9,-20.4,-1.7,148118.0657334245,34677.09076351521,8386.161595880963,0.08843172969710371,0.0788182468511217,0.10268198234722585,0.08384864354497046,0.06959742006082156,0.09834487878896958,0.02628107120128972,0.026038377290491025,0.026143051178832453,0.024475137568779212,0.020729135615236288,0.025700883109405145
9,All Children 100,005,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,137093.76127801463,28591.27074882543,6856.070026504057,0.06907327344817545,0.07655746509129967,0.06304591265397537,0.05945767343921506,0.05182599355531686,0.032362821948488246,0.021387289711251985,0.02156283566058002,0.011422172452407616,0.019718420286283907,0.016245972073039742,0.005935050391937291
10,All Children 100,009,-4.2,-9.0,-16.9,-1.5,-5.9,-8.9,151926.23747424368,35147.85986069961,8316.445336131641,0.07369501824790926,0.0775028352296996,0.04412358325641194,0.0705795130799424,0.07050159830094496,0.03667102160784129,0.02071240779282876,0.014957874002814923,0.01038418566347218,0.020405303796385714,0.014075874600973823,0.009461698505003988
11,All Children 100,040,-4.0,-10.4,-6.8,-4.5,-11.3,-3.7,104197.73262145191,21160.71358460886,6593.244645583044,0.26531356208717544,0.3472289103148904,0.30917200086729185,0.2547039551954334,0.31117017239446776,0.28824412137105926,0.09657340946095563,0.11018875844582557,0.09174366764974483,0.09225699614500579,0.09769614504398956,0.08831577290821824
12,All Children 100,045,-2.6,-5.0,-3.1,-8.8,-29.6,-12.0,117771.95295508276,24269.640233569524,7359.356584450285,0.21449398714101395,0.27139301292682844,0.188586752701303,0.2089926225832877,0.2579100535606605,0.182697127114605,0.07887484779062597,0.07872543029387832,0.035990688801692934,0.0719240631658053,0.05543803425273068,0.03165703463330786
13,All Children 100,046,-4.2,-9.0,-8.8,-11.3,-26.5,-14.8,115319.12860217909,23573.20187336759,6814.72179616557,0.31273729359061125,0.4717596690787056,0.3898607167583739,0.29949801606873394,0.42911426248472645,0.3556859052940388,0.11424270600977039,0.14794950288152822,0.07215561810052457,0.10138930587090866,0.10872165348195063,0.06145497129468184
14,All Children 100,007,-0.9,-0.8,-1.5,-5.6,-16.4,-24.3,141761.4907281592,29232.372454450477,7020.847573886839,0.09180863359940401,0.104140804970251,0.18815802294184597,0.09102742986040763,0.10329698973199083,0.18527156618940296,0.03085325836821983,0.025874805879260478,0.0594672776079181,0.029132032968633443,0.02161885370449591,0.04499795803622238
15,All Children 100,034,-3.2,-4.6,-9.2,-14.1,-12.3,-24.5,134751.91586952424,30031.386383115554,8292.506364727447,0.11168883530696679,0.13727408728660134,0.24548181254778312,0.10810539740550797,0.131022806552588,0.22284274314519342,0.05505529534395442,0.08559065708391249,0.1558808879818773,0.04727220218228122,0.07504162084526496,0.11767745836500723
16,All Children 100,035,-3.7,-12.8,0.0,0.0,0.0,0.0,138772.6739831373,29334.71766036067,7224.587102113348,0.0821365825000468,0.0541606447192078,0.0698026998640133,0.07907800560670528,0.04721023225765714,0.0698026998640133,0.03378178652641121,0.025094309272937015,0.031039502656549065,0.03378178652641121,0.025094309272937015,0.031039502656549065
17,All Children 100,015,-5.5,-9.7,-18.2,-12.4,-39.2,-60.5,132970.1432124917,28885.262020136455,6484.895562572541,0.09967103322512985,0.11834006621129425,0.13404743560291935,0.09416225114810002,0.10687239886819096,0.10962082169603736,0.029812105707604182,0.02497062997753498,0.03488506446048574,0.026120850124623077,0.015189974159998542,0.013778532525359656
18,All Children 100,016,-5.5,-11.9,-44.2,-0.2,-0.8,-2.5,135523.97006429,28924.258288966797,6520.4750057160345,0.08851974055490112,0.09697845511194256,0.11521594204421487,0.08362031413908742,0.08544893397982921,0.06434610358066238,0.03170765285806048,0.026801317418289075,0.01388165877099014,0.03162925161528547,0.026596097289723106,0.013530363293986648
19,All Children 100,017,-5.3,-10.6,-14.5,-24.8,-70.2,-95.7,148403.13987533527,29756.94306138756,6457.733047595881,0.16216918755478338,0.1773666891885152,0.304620129954975,0.1534943113712758,0.15855218645502603,0.26060160329512944,0.04344181844958863,0.04283617886540642,0.0567967816797042,0.03267391242359538,0.012776110673146445,0.0024255261828940917
20,All Children 100,018,-16.2,-22.5,-28.0,-20.1,-39.7,-56.0,141525.8510196117,33389.856048763984,10139.888772464239,0.17741666391316888,0.226868537759755,0.27844863864462227,0.14859982732529534,0.17572382117603627,0.20040405181097992,0.04808267803824196,0.051418642786256574,0.027480587081879296,0.03843267077829751,0.030994007947543385,0.012083385194442249
21,All Children 100,019,-15.3,-19.4,-22.5,-27.3,-53.0,-69.0,150024.3023403057,36756.84048023443,11018.291570962498,0.18448607318580174,0.23878725618051982,0.31942870421616976,0.15625455759802287,0.19254663086015983,0.24771386236017617,0.04643480165995999,0.04891929809320609,0.03286792687894611,0.033760805685817616,0.022977356290996193,0.010199665971437474
22,All Children 100,039,-5.6,-7.5,-10.5,-8.2,-31.2,-39.6,125782.827895456,28604.806028785453,8018.627729403648,0.09626540030318413,0.13844869744267888,0.10892420251753754,0.09083030534351556,0.1280363372922383,0.09750935793232794,0.029765043614429377,0.022815792328386684,0.0598164587661648,0.027337890625099014,0.015693470422434463,0.036151163207429726
23,All Children 100,027,-6.6,-9.4,-17.2,-5.5,-8.7,-43.1,149478.66811975132,33012.956909311855,7724.560793892246,0.09070221099683566,0.11985250527332035,0.13056209295263763,0.08472548896415039,0.108557975756572,0.10815801482911432,0.031809498390508346,0.048409865443049815,0.041830587617565605,0.03006623208660589,0.04419376621136888,0.02381197064054358
24,All Children 100,029,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,145298.59229879008,33493.22789802034,7307.352894307185,0.08495229388223377,0.11412240454156623,0.09659597219746925,0.08297144803416732,0.11085620965860489,0.09142755302085188,0.0445331791679551,0.07875806827902637,0.07806095170201388,0.041185460053688984,0.07100085543199317,0.04250579219390482
25,All Children 100,014,-6.1,-10.3,-9.0,-9.8,-28.8,-44.7,141946.0474380321,34745.04826598392,8938.492689604362,0.11097748013477153,0.13733999978829733,0.2121057977728223,0.10415740738193487,0.12326181925676047,0.19299962085315617,0.03098600431633533,0.019416320192332644,0.02413085331737054,0.027935194762745003,0.013830814577280443,0.013337104018598113
26,All Children 100,020,-12.5,-27.4,-23.0,-2.8,-7.1,-19.3,141302.71815447757,32011.985805741428,10487.595621680797,0.18061915420361876,0.19341005283375043,0.20633639299210835,0.1579609691292932,0.1403660497802006,0.15887172197523927,0.05470714243952992,0.04303365127812781,0.024061060063026645,0.053163792888426056,0.03998070465720584,0.019428328920148005
27,All Children 100,003,-11.4,-24.0,-9.4,-1.1,-3.7,0.0,140518.83013425834,30562.05982737942,8474.619413160095,0.11005673178728505,0.13211030239492705,0.14637796378131598,0.09747409966607092,0.1004388257644878,0.13264715263490082,0.031819954540972036,0.029769987708947933,0.02200441416173493,0.03147082081833083,0.028661598189589046,0.02200441416173493
28,All Children 100,010,-24.8,-37.7,-36.2,-15.0,-31.1,-100.0,130559.54700365491,29764.686280670492,8255.413412128444,0.15177956915306048,0.1671475138989402,0.16478835386612536,0.11410186746442731,0.10420948260528944,0.10511722415455861,0.034574072228122345,0.035910762460068024,0.013498999119886276,0.02939661452614208,0.024732277497503605,0.0
29,All Children 100,012,-13.3,-38.4,-72.4,-10.0,-29.6,0.0,130908.08116763597,30119.172576573583,8139.57585812543,0.09125785759119509,0.09124857113809952,0.10981960187886274,0.07914598732403554,0.05618049443115961,0.030264250408577328,0.033265795596886576,0.01126651147198068,0.007040058455805326,0.02992862345748811,0.007928179804868754,0.007040058455805326
30,All Children 100,044,-10.8,-28.2,-43.7,-12.1,-27.6,-19.4,117785.24830688488,26235.511256030055,7311.2666970359005,0.15558040335415374,0.18568518845961657,0.21859474884681493,0.13874931878502725,0.13338568605468148,0.12297950021916476,0.054681020817840244,0.04028765240308778,0.026027590356995655,0.04807019996134404,0.029180186388068678,0.020978051365483114
