,reform,race,total_pov_change,child_pov_change,young_child_pov_change,baby_pov_change,population,child_population,young_child_population,baby_population,total_pov_rate,child_pov_rate,young_child_pov_rate,baby_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,new_baby_pov_rate
0,All Children 100,All,-9.6,-20.4,-20.3,-19.6,5905181.0,1328582.0,356194.0,64250.0,0.12926648649719627,0.14890386893695684,0.1590958859497914,0.17998443579766538,0.11684180383293924,0.11852486335054968,0.12672588533215046,0.14463813229571984
1,All Children 100,White,-6.7,-21.1,-27.0,-23.1,2950918.0,546644.0,143955.0,26254.0,0.08518535587908577,0.06989558103628687,0.061769302907158485,0.07572179477412966,0.07948374031403109,0.05516570199252164,0.04509742627904553,0.058238744572255655
2,All Children 100,Black,-7.1,-15.9,-9.0,-11.1,1772835.0,416371.0,107065.0,20244.0,0.1693778608838386,0.20420970720823498,0.2387241395414001,0.27771191464137523,0.1573592579117628,0.17178189643370936,0.21726054266100034,0.2469867615095831
3,All Children 100,Hispanic,-25.7,-41.1,-58.2,-78.1,275890.0,90804.0,26487.0,3257.0,0.16650114175939687,0.2038236201048412,0.18884735908181371,0.13754989253914646,0.1237014752256334,0.12007180300427293,0.07894438781288934,0.030089038992938286
4,All Children 100,Asian,-11.6,-16.4,-22.8,-39.0,376698.0,73781.0,18072.0,2824.0,0.1461170486702876,0.17522126292676976,0.21143204957945994,0.23689801699716714,0.12922022415834436,0.14643336360309564,0.16318061088977423,0.14447592067988668
5,All Children 100,Other,-15.4,-21.0,-22.8,-20.4,528840.0,200982.0,60615.0,11671.0,0.20934498146887529,0.21474559910837787,0.22098490472655283,0.24308114129037786,0.17707624234172906,0.16957737508831636,0.17068382413593994,0.1934709964870191
6,All Children 200,All,-16.2,-34.4,-32.5,-32.7,5905181.0,1328582.0,356194.0,64250.0,0.12926648649719627,0.14890386893695684,0.1590958859497914,0.17998443579766538,0.10838448474314336,0.09760857816830275,0.1073628415975564,0.12121400778210117
7,All Children 200,White,-11.1,-37.9,-45.6,-48.1,2950918.0,546644.0,143955.0,26254.0,0.08518535587908577,0.06989558103628687,0.061769302907158485,0.07572179477412966,0.07573914287011703,0.043390213740569734,0.03362161786669445,0.03930829587872324
8,All Children 200,Black,-15.0,-32.9,-24.7,-22.2,1772835.0,416371.0,107065.0,20244.0,0.1693778608838386,0.20420970720823498,0.2387241395414001,0.27771191464137523,0.14395755950215333,0.13700281719908447,0.17982533974688272,0.21601462161628138
9,All Children 200,Hispanic,-34.1,-46.0,-58.2,-78.1,275890.0,90804.0,26487.0,3257.0,0.16650114175939687,0.2038236201048412,0.18884735908181371,0.13754989253914646,0.1096487730617275,0.10999515439848465,0.07894438781288934,0.030089038992938286
