,reform,county_fip,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
0,All Children 100,Maryland,-9.8,-20.7,-20.1,-7.4,-19.1,-23.7,6319406.0,1390540.0,376011.0,12.544612579093666,14.826470292116731,15.847940618758493,11.30981297925786,11.7528442187927,12.65601272303204,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.03799676741769717,0.030993714671997928,0.02710027100271003
1,All Children 100,11,-3.2,-7.5,0.0,0.0,0.0,0.0,34804.32229101806,6894.312502186309,1569.5779783351406,8.338500376455999,6.805287722534306,4.100171863491284,8.071659506621195,6.296637880439339,4.100171863491284,0.019022100181584657,0.013498784270981806,0.004051068008838693,0.019022100181584657,0.013498784270981806,0.004051068008838693
2,All Children 100,19,-3.2,-7.5,0.0,0.0,0.0,0.0,33844.93660288476,6704.269877916535,1526.312356432411,8.338500376455999,6.805287722534306,4.100171863491283,8.071659506621197,6.296637880439341,4.100171863491283,0.01902210018158466,0.013498784270981804,0.004051068008838694,0.01902210018158466,0.013498784270981804,0.004051068008838694
3,All Children 100,29,-3.2,-7.5,0.0,0.0,0.0,0.0,20573.61010249414,4075.3816769860427,927.8125021863084,8.338500376455999,6.805287722534305,4.100171863491284,8.071659506621195,6.296637880439339,4.100171863491284,0.019022100181584657,0.013498784270981804,0.004051068008838694,0.019022100181584657,0.013498784270981804,0.004051068008838694
4,All Children 100,35,-3.2,-7.5,0.0,0.0,0.0,0.0,52268.09053066079,10353.672368559135,2357.1452758246755,8.338500376456,6.805287722534306,4.100171863491283,8.071659506621197,6.296637880439341,4.100171863491283,0.019022100181584657,0.013498784270981808,0.004051068008838693,0.019022100181584657,0.013498784270981808,0.004051068008838693
5,All Children 100,41,-3.2,-7.5,0.0,0.0,0.0,0.0,39141.04047294225,7753.363574351979,1765.1518872214642,8.338500376455997,6.805287722534306,4.100171863491285,8.071659506621197,6.296637880439339,4.100171863491285,0.019022100181584657,0.013498784270981806,0.004051068008838694,0.019022100181584657,0.013498784270981806,0.004051068008838694
6,All Children 100,33,-18.8,-39.8,-27.8,-3.3,-12.1,-11.0,939674.0,210461.0,62964.0,14.797578734752692,20.11156461292116,19.444444444444446,12.011931797623431,12.116259069376275,14.047709802426784,0.03690428808288832,0.026950361349608716,0.03131948414967283,0.03569429397855001,0.02368134713794955,0.027873070325900515
7,All Children 100,13,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,178564.0,37240.0,8930.0,6.907327344817545,7.655746509129968,6.304591265397537,5.945767343921507,5.1825993555316865,3.236282194848824,0.021387289711251988,0.02156283566058002,0.011422172452407614,0.01971842028628391,0.016245972073039742,0.00593505039193729
8,All Children 100,510,-3.8,-9.2,-6.5,-6.3,-17.4,-5.7,595705.0,122089.0,37354.0,25.001804584483935,32.96038136113818,27.92739733361889,24.043947927245867,29.919976410651245,26.10162231621781,0.08978437313771077,0.10052502682469346,0.07238849922364406,0.0840986730008981,0.08306235615002171,0.06826578144241581
9,All Children 100,25,-2.2,-3.9,-7.7,-10.8,-10.4,-19.4,272165.0,59029.0,15126.0,8.74322561681333,9.136187297768892,17.9624487637181,8.546653684345893,8.78381812329533,16.587333068888007,0.03955321220583102,0.05719222754917075,0.11966150998281105,0.03528374331747286,0.051245997729929355,0.09645643263255321
10,All Children 100,31,-10.2,-16.6,-21.0,-14.3,-36.9,-54.2,1117479.0,253075.0,68066.0,13.913997488990844,16.902894398893608,21.83762818440925,12.495536828880006,14.090684579670057,17.25971850850645,0.03968933644390633,0.035527017682505185,0.033379367084888194,0.03403106456586656,0.02243208535019263,0.015293979372961538
11,All Children 100,9,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,100193.2768092404,23095.86212040177,5038.917581366137,8.495229388223377,11.41224045415662,9.659597219746924,8.297144803416733,11.085620965860485,9.142755302085188,0.04453317916795511,0.07875806827902634,0.0780609517020139,0.04118546005368899,0.07100085543199314,0.04250579219390483
12,All Children 100,37,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,122943.7231907596,28340.13787959823,6183.082418633863,8.495229388223379,11.412240454156624,9.659597219746926,8.297144803416735,11.085620965860487,9.14275530208519,0.04453317916795512,0.07875806827902639,0.07806095170201391,0.04118546005368899,0.07100085543199317,0.04250579219390483
13,All Children 100,21,-8.4,-18.6,-6.4,-3.6,-11.6,0.0,275124.0,62421.0,16185.0,10.042744362541981,10.50127360984284,12.721655854185975,9.200578648173186,8.550007209112318,11.906085881989496,0.02935040200055248,0.0280674772912962,0.024590670373802904,0.02828179293700295,0.024815366623411994,0.024590670373802904
14,All Children 100,5,-9.9,-18.2,-21.9,-11.0,-30.0,-33.6,865896.0,186739.0,50331.0,12.710186904662915,13.257005767407987,17.096819057837116,11.454262405646867,10.838657163206399,13.355586020544,0.0463196503968144,0.037180235515880455,0.03272337128211242,0.0412081820449569,0.026014919218802713,0.02171623850112257
15,All Children 100,1,-11.1,-28.3,-54.4,0.0,0.0,0.0,67951.51832538737,12172.18995828367,3194.0201132300363,11.41326482659231,11.286655395557629,18.173739169073535,10.144428083586577,8.091878971608466,8.28704732281715,0.04317177856449137,0.04442371596805224,0.01355254387913797,0.04317177856449137,0.04442371596805224,0.01355254387913797
