,reform,district,total_pov_change,child_pov_change,young_child_pov_change,baby_pov_change,population,child_population,young_child_population,baby_population,total_pov_rate,child_pov_rate,young_child_pov_rate,baby_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,new_baby_pov_rate
0,All Children,Maryland,-9.6,-20.4,-20.3,-19.6,5905181.0,1328582.0,356194.0,64250.0,0.12926648649719627,0.14890386893695684,0.1590958859497914,0.17998443579766538,0.11684180383293924,0.11852486335054968,0.12672588533215046,0.14463813229571984
1,All Children,9,-7.9,-15.5,-3.4,0.0,128170.0,30547.0,6229.0,1295.0,0.14307560271514394,0.21226307002324288,0.2987638465243217,0.2,0.13181711789030195,0.17936294889841883,0.28864986354149946,0.2
2,All Children,36,-8.8,-5.9,-18.5,,118111.0,25978.0,7076.0,916.0,0.14752224602280906,0.17229963815536223,0.20195025438100622,0.0,0.13450906350805597,0.16209869889906844,0.16449971735443752,0.0
3,All Children,31,-8.7,-26.5,-21.3,0.0,123836.0,29648.0,6155.0,434.0,0.13844116412028812,0.1657447382622774,0.1735174654752234,0.6336405529953917,0.12642527213411286,0.12189692390717755,0.13663688058489035,0.6336405529953917
4,All Children,45,-13.5,-26.6,-43.0,0.0,129847.0,29560.0,8558.0,998.0,0.12403058984805194,0.15656292286874154,0.16288852535639167,0.05511022044088176,0.10728780795859742,0.11495263870094723,0.0927786866090208,0.05511022044088176
5,All Children,43,-10.3,-18.6,-31.5,0.0,128282.0,29760.0,8281.0,1548.0,0.12483434932414524,0.1817204301075269,0.32339089481946626,0.36563307493540054,0.11191749427043544,0.1478494623655914,0.22159159521796884,0.36563307493540054
6,All Children,32,-5.2,-8.9,-13.3,0.0,127150.0,26958.0,9632.0,1567.0,0.14683444750294927,0.141776096149566,0.2159468438538206,0.2393107849393746,0.13915847424302005,0.12912678982120335,0.18718853820598005,0.2393107849393746
7,All Children,16,-10.4,-27.9,-13.8,,122772.0,27415.0,7270.0,538.0,0.1279119017365523,0.1421484588728798,0.1657496561210454,0.0,0.11461082331476233,0.10242567937260624,0.14291609353507564,0.0
8,All Children,28,-8.7,-13.3,0.0,0.0,125571.0,28702.0,5695.0,535.0,0.12713126438429256,0.1714514667967389,0.16681299385425813,0.18504672897196262,0.11612553853994952,0.14870043899379834,0.16681299385425813,0.18504672897196262
9,All Children,15,-10.8,-17.4,-12.5,0.0,124990.0,28565.0,7709.0,1691.0,0.13095447635810864,0.15536495711535095,0.2114411726553379,0.2637492607924305,0.11685734858788703,0.12833887624715562,0.1851083149565443,0.2637492607924305
10,All Children,21,-12.1,-38.3,-74.3,-100.0,129107.0,29087.0,9713.0,1468.0,0.14388840264276917,0.12050056726372606,0.07773087614537218,0.24659400544959129,0.12653070708791933,0.07436311754391997,0.019973231751261197,0.0
11,All Children,20,-14.9,-19.7,-4.9,0.0,127441.0,32646.0,8941.0,1620.0,0.14239530449384422,0.21503400110273846,0.26182753606979087,0.12222222222222222,0.1211776429877355,0.17260920173987626,0.24907728442008722,0.12222222222222222
12,All Children,38,-18.0,-40.3,-64.2,0.0,128726.0,28223.0,6435.0,848.0,0.13184593632987895,0.16596393012790986,0.12074592074592075,0.08372641509433962,0.10811335705296521,0.09913900010629628,0.0432012432012432,0.08372641509433962
13,All Children,24,-10.3,-22.2,-33.0,,126530.0,29375.0,7919.0,1571.0,0.1267525488026555,0.1382127659574468,0.22022982699835839,0.0,0.11368845333122579,0.1075404255319149,0.14749337037504737,0.0
14,All Children,29,-12.1,-22.5,-18.1,0.0,126447.0,26728.0,8590.0,657.0,0.12061970628010155,0.168923974857827,0.29988358556461003,0.1506849315068493,0.10606024658552596,0.13098623166716553,0.24563445867287545,0.1506849315068493
15,All Children,25,-4.8,-9.5,-2.0,0.0,121702.0,27439.0,7513.0,2683.0,0.1638428292057649,0.18284194030394693,0.21975242912285373,0.4189340290719344,0.15595470904340109,0.16553081380516782,0.21536004259283908,0.4189340290719344
16,All Children,10,-5.9,-15.8,0.0,,130006.0,30648.0,7661.0,1254.0,0.1484777625648047,0.15952101279039416,0.03602662837749641,0.0,0.1397473962740181,0.1343317671626207,0.03602662837749641,0.0
